  97/99998     8.96G   0.06224   0.04576         0     0.108      1523       640    0.8337    0.6022     0.652    0.3294   0.05835   0.04064         0
  98/99998     8.96G   0.06265   0.04605         0    0.1087      1471       640     0.837    0.6014    0.6527    0.3295   0.05831   0.04063         0
  99/99998     8.96G   0.06277   0.04669         0    0.1095      1314       640     0.838    0.6014    0.6534    0.3303   0.05829   0.04063         0
 100/99998     8.96G   0.06331   0.04675         0    0.1101      1189       640    0.8399    0.6008    0.6537    0.3305   0.05827   0.04063         0
 101/99998     8.96G   0.06243   0.04734         0    0.1098      1101       640    0.8414    0.6005    0.6538    0.3306   0.05824   0.04062         0
 102/99998     8.96G   0.06234   0.04633         0    0.1087      1044       640     0.841    0.6012    0.6542    0.3312   0.05823   0.04062         0
 103/99998     8.96G   0.06217    0.0455         0    0.1077       886       640    0.8404    0.6017    0.6538    0.3311   0.05821   0.04061         0
 104/99998     8.96G    0.0626   0.04689         0    0.1095      1386       640      0.84     0.602    0.6542    0.3313    0.0582   0.04059         0
 105/99998     8.96G   0.06326   0.04676         0      0.11      1535       640    0.8387    0.6024    0.6545    0.3315    0.0582   0.04059         0
 106/99998     8.96G   0.06284   0.04764         0    0.1105      1533       640    0.8397    0.6031    0.6549    0.3317   0.05818   0.04058         0
 107/99998     8.96G   0.06299   0.04672         0    0.1097      1208       640    0.8422    0.6021    0.6552    0.3318   0.05817   0.04058         0
 108/99998     8.96G   0.06253    0.0466         0    0.1091      1241       640    0.8503    0.5985    0.6554    0.3319   0.05816   0.04056         0
 109/99998     8.96G   0.06266     0.047         0    0.1097       950       640    0.8433    0.6018    0.6553    0.3321   0.05815   0.04056         0
 110/99998     8.96G   0.06228   0.04651         0    0.1088      2930       640    0.8556    0.5956    0.6552    0.3324   0.05813   0.04055         0
 111/99998     8.96G   0.06228   0.04569         0     0.108      1224       640    0.8586    0.5949    0.6563    0.3326   0.05812   0.04055         0
 112/99998     8.96G   0.06339   0.04682         0    0.1102      1312       640    0.8476    0.6004    0.6566    0.3327   0.05811   0.04055         0
 113/99998     8.96G   0.06225   0.04559         0    0.1078      1608       640    0.8493    0.5998    0.6566    0.3329    0.0581   0.04054         0
 114/99998     8.96G   0.06246   0.04659         0    0.1091      1150       640    0.8495    0.5995    0.6563     0.333   0.05809   0.04053         0
 115/99998     8.96G   0.06275   0.04717         0    0.1099      1764       640    0.8503    0.5993    0.6563    0.3331   0.05807   0.04052         0
 116/99998     8.96G   0.06172   0.04656         0    0.1083      1612       640    0.8521    0.5991    0.6567    0.3332   0.05806   0.04052         0
 117/99998     8.96G    0.0628   0.04678         0    0.1096      1394       640    0.8492    0.6003    0.6565    0.3333   0.05805   0.04051         0
 118/99998     8.96G   0.06199   0.04615         0    0.1081      1459       640    0.8508    0.5992    0.6564    0.3332   0.05805    0.0405         0
 119/99998     8.96G   0.06251   0.04702         0    0.1095      1195       640     0.842    0.6041    0.6566    0.3335   0.05804   0.04048         0
 120/99998     8.96G   0.06278   0.04669         0    0.1095       834       640     0.845    0.6025    0.6567    0.3337   0.05803   0.04048         0
 121/99998     8.96G   0.06275   0.04656         0    0.1093      1732       640    0.8506    0.6007    0.6571    0.3337   0.05802   0.04048         0
 122/99998     8.96G   0.06279    0.0471         0    0.1099      1236       640    0.8452    0.6034    0.6571    0.3338   0.05801   0.04048         0
 123/99998     8.96G   0.06257   0.04619         0    0.1088      1048       640    0.8465    0.6027    0.6573    0.3339     0.058   0.04048         0
